title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,adult,genre_names,rating_group
The Terror Within,en,1989-01-20,3.412,34,4.1,0,858591,90,FALSE,"Horror, Science Fiction",low
Taxiwala,te,2018-06-01,3.412,21,6.1,1000000,100000000,150,FALSE,"Comedy, Horror, Thriller",high
The Omega Code,en,1999-10-15,3.373,40,4.5,7200000,12600000,100,FALSE,"Horror, Thriller",low
Antarctic Journal,ko,2005-05-19,3.37,37,6,0,6500000,114,FALSE,"Horror, Mystery, Thriller",low
The Marsh,en,2006-05-18,3.362,51,5,9000000,2429573,92,FALSE,"Horror, Mystery, Thriller",low
Theresa & Allison,en,2019-01-26,3.328,15,4.6,0,7000,120,FALSE,"Drama, Fantasy, Horror, Mystery, Romance",low
Killer Tongue,es,1996-11-15,3.306,29,5.3,4000000,219449,98,FALSE,"Comedy, Horror, Science Fiction",low
Vulgar,en,2002-04-26,3.296,42,5.4,120000,14904,87,FALSE,"Crime, Drama, Horror, Thriller",low
Semen Demon,ja,2005-07-29,3.282,11,6.1,10000,1000000,56,FALSE,"Fantasy, Horror",high
Cameron's Closet,en,1988-12-02,3.271,27,4.8,7000000,136203,87,FALSE,Horror,low
Flora,en,2017-04-27,3.266,21,4.2,0,88,99,FALSE,"Adventure, Drama, Horror, Science Fiction",low
Sky High,ja,2003-12-05,3.238,37,6.3,0,1831166,122,FALSE,"Action, Horror, Thriller",high
Kindred,en,2020-11-06,3.206,14,6,0,8921,101,FALSE,"Drama, Horror, Mystery, Thriller",low
Raaz 3,hi,2012-09-07,3.15,26,5.4,3600000,14000000,139,FALSE,"Horror, Thriller",low
Queen of Blood,en,1966-03-01,3.136,29,5.7,65000,1730000,81,FALSE,"Horror, Science Fiction",low
Pari,hi,2018-03-02,3.136,34,6.7,2600000,6000000,135,FALSE,"Fantasy, Horror, Mystery",high
The Haunting of Morella,en,1990-02-09,3.095,15,3.9,0,1547867,82,FALSE,"Horror, Romance, Thriller",low
Last Rites,en,1988-11-18,3.075,15,4.4,0,426965,103,FALSE,"Crime, Drama, Horror, Mystery, Romance, Thriller",low
Hangman's Curse,en,2003-09-12,3.051,35,5.5,0,168406,106,FALSE,"Horror, Mystery, Thriller",low
Cut and Run,it,1985-08-08,3.005,43,5.7,0,373530,90,FALSE,"Adventure, Horror, Thriller",low
Apartment Zero,en,1989-09-02,2.983,38,6.7,4000000,670774,124,FALSE,"Drama, Horror, Thriller",high
Guests,ru,2019-03-07,2.961,44,5.9,0,493857,87,FALSE,"Horror, Romance, Thriller",low
Seven Days to Live,en,2000-06-25,2.946,37,5.3,0,676805,96,FALSE,"Horror, Thriller",low
Evil Bong 3: The Wrath of Bong,en,2011-04-08,2.93,15,4.9,0,91260,86,FALSE,"Comedy, Horror, Science Fiction",low
Gogol. A Terrible Vengeance,ru,2018-08-30,2.929,47,6.8,0,7141571,106,FALSE,"Adventure, Horror, Mystery, Thriller",high
Lycan,en,2017-08-04,2.922,11,5.4,0,4970,87,FALSE,Horror,low
Night Game,en,1989-09-15,2.92,18,4.1,0,337812,95,FALSE,"Crime, Drama, Horror, Thriller",low
7 Witches,en,2017-04-14,2.903,34,4.6,0,31100,75,FALSE,"Horror, Thriller",low
Bhoot,hi,2003-05-30,2.896,20,6,2700000,9600000,113,FALSE,Horror,low
Cruel World,en,2005-09-01,2.874,16,4.6,2000000,16344,88,FALSE,"Comedy, Horror, Thriller",low
Meet the Applegates,en,1990-11-08,2.87,24,5.5,5000000,485772,90,FALSE,"Comedy, Fantasy, Horror",low
Resident Evil: The Final Chapter,en,2016-12-23,2.844,2642,6.1,40000000,312242626,107,FALSE,"Action, Horror, Science Fiction",high
Driftwood,en,2006-10-20,2.84,18,4,0,1066555,83,FALSE,"Horror, Mystery",low
Howard Lovecraft & the Frozen Kingdom,en,2016-08-20,2.824,30,5.3,0,28115,83,FALSE,"Animation, Family, Fantasy, Horror",low
Vampire Diary,en,2007-01-01,2.816,18,4.5,0,2000000,90,FALSE,"Drama, Fantasy, Horror",low
Eddie: The Sleepwalking Cannibal,en,2012-04-22,2.808,43,6.1,0,1632,79,FALSE,"Comedy, Horror",high
Howard Lovecraft and the Kingdom of Madness,en,2018-12-04,2.778,12,4.8,0,3882,75,FALSE,"Adventure, Animation, Family, Fantasy, Horror",low
Not of This Earth,en,1957-02-10,2.742,42,5.7,100000,1000000,67,FALSE,"Horror, Science Fiction",low
Pizza,ta,2012-10-19,2.73,48,6.7,240000,2800000,127,FALSE,"Comedy, Horror, Romance, Thriller",high
The Week of the Killer,es,1972-04-13,2.703,40,6.2,0,57696,98,FALSE,"Drama, Horror, Thriller",high
