title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,adult,genre_names,rating_group
Life,en,2017-03-22,32.282,6326,6.4,58000000,100541806,104,FALSE,"Horror, Mystery, Science Fiction, Thriller",high
A Tale of Two Sisters,ko,2003-06-13,32.2,904,7.1,15050245,1062878,115,FALSE,"Drama, Horror, Mystery",high
See No Evil,en,2006-05-19,32.164,528,5.4,8000000,18707966,84,FALSE,"Horror, Thriller",low
Black Swan,en,2010-12-03,31.951,12624,7.7,13000000,329398046,108,FALSE,"Drama, Horror, Thriller",high
Gothika,en,2003-11-21,31.591,1883,6.1,40000000,141591324,98,FALSE,"Horror, Thriller",high
The Return of the Texas Chainsaw Massacre,en,1995-03-12,31.468,470,4.4,600000,185898,95,FALSE,Horror,low
Critters,en,1986-04-11,31.428,739,6.4,2000000,13167232,86,FALSE,"Comedy, Horror, Science Fiction",high
Sinister 2,en,2015-08-19,31.394,1832,5.8,10000000,53329150,97,FALSE,Horror,low
Come True,en,2020-09-24,31.366,173,6.1,0,70459,105,FALSE,"Horror, Science Fiction",high
The Possession of Hannah Grace,en,2018-11-29,31.136,1094,5.5,7700000,41036181,86,FALSE,"Drama, Horror",low
Forbidden Empire,ru,2014-01-30,31.129,244,5.9,26000000,34592118,128,FALSE,"Adventure, Fantasy, Horror, Mystery, Science Fiction, Thriller",low
Happy Death Day 2U,en,2019-02-13,30.925,2876,6.3,9000000,25327500,100,FALSE,"Comedy, Horror, Science Fiction",high
Killer Klowns from Outer Space,en,1988-05-27,30.761,722,6.4,2000000,43625095,88,FALSE,"Comedy, Horror, Science Fiction",high
House of 1000 Corpses,en,2003-04-11,30.568,1291,6.2,7000000,17949758,89,FALSE,"Crime, Horror",high
Hellraiser III: Hell on Earth,en,1992-09-11,30.562,567,5.7,5000000,12534961,93,FALSE,Horror,low
Slender Man,en,2018-08-10,30.529,1685,4.4,10000000,11817275,93,FALSE,"Horror, Mystery, Thriller",low
Cujo,en,1983-08-10,30.421,782,6.1,5000000,21200000,93,FALSE,"Horror, Thriller",high
New Nightmare,en,1994-10-13,30.385,1096,6.4,8000000,57000000,112,FALSE,"Fantasy, Horror, Mystery",high
Friday the 13th Part VII: The New Blood,en,1988-05-13,30.38,788,5.4,2800000,19170001,88,FALSE,"Horror, Thriller",low
Creepshow,en,1982-11-12,30.331,782,6.9,8000000,21028755,120,FALSE,"Comedy, Horror",high
Friday the 13th: A New Beginning,en,1985-03-22,30.247,876,5.3,2200000,21930418,92,FALSE,"Horror, Mystery",low
The Birds,en,1963-03-28,30.096,3311,7.5,2500000,11500000,119,FALSE,Horror,high
The Shallows,en,2016-06-24,30.09,4524,6.4,17000000,119100758,86,FALSE,"Drama, Horror, Thriller",high
Gremlins,en,1984-06-07,30.063,5392,7.1,11000000,153083102,106,FALSE,"Comedy, Fantasy, Horror",high
Sadako,ja,2019-05-24,29.908,70,6,0,5481562,99,FALSE,Horror,low
The Skin I Live In,es,2011-08-17,29.657,3601,7.5,13000000,33750478,120,FALSE,"Drama, Horror, Thriller",high
Chernobyl Diaries,en,2012-05-24,29.565,1374,5.3,1000000,38390020,88,FALSE,"Horror, Thriller",low
Doctor Sleep,en,2019-10-30,29.402,3486,7.2,45000000,72281712,152,FALSE,"Fantasy, Horror, Thriller",high
The Howling,en,1981-01-21,29.36,588,6.5,1000000,17985893,91,FALSE,Horror,high
The Turning,en,2020-01-23,29.345,842,5.9,14000000,18472775,94,FALSE,"Horror, Thriller",low
Gremlins 2: The New Batch,en,1990-06-15,29.242,2089,6.4,50000000,41482207,106,FALSE,"Comedy, Fantasy, Horror",high
Crimson Peak,en,2015-10-13,29.153,4396,6.6,55000000,74679822,119,FALSE,"Fantasy, Horror, Mystery, Romance, Thriller",high
Paranormal Activity 2,en,2010-10-20,29.023,2086,5.7,3000000,177512032,91,FALSE,"Fantasy, Horror, Mystery",low
You Won't Be Alone,mk,2022-04-01,29.005,76,6.5,0,125000,109,FALSE,"Drama, History, Horror",high
The Host,ko,2006-07-27,28.947,2227,7,11000000,88489643,120,FALSE,"Drama, Horror, Science Fiction",high
Brahms: The Boy II,en,2020-02-20,28.004,1045,6,10000000,20311536,86,FALSE,"Horror, Mystery, Thriller",low
30 Days of Night,en,2007-10-17,27.909,2267,6.4,30000000,75505973,113,FALSE,"Horror, Thriller",high
The Vatican Tapes,en,2015-07-24,27.874,648,5.3,13000000,1784763,91,FALSE,"Horror, Thriller",low
Return of the Living Dead III,en,1993-10-01,27.871,683,6.6,2000000,54207,97,FALSE,"Horror, Science Fiction",high
The Thing,en,2011-10-12,27.719,2390,6.2,35000000,31505287,103,FALSE,"Horror, Mystery, Science Fiction, Thriller",high
47 Meters Down,en,2017-05-25,27.688,2406,5.8,5500000,44235023,89,FALSE,"Adventure, Drama, Horror, Thriller",low
The Visit,en,2015-09-10,27.653,4012,6.3,5000000,98450062,94,FALSE,"Horror, Mystery, Thriller",high
Ringu,ja,1998-01-30,27.596,1072,7.1,1200000,19400000,96,FALSE,"Horror, Thriller",high
The Omen,en,1976-06-25,27.545,1590,7.4,2800000,60922980,111,FALSE,"Horror, Thriller",high
The Others,en,2001-08-02,27.543,5398,7.6,17000000,209947037,101,FALSE,"Horror, Mystery, Thriller",high
1408,en,2007-06-22,27.515,3579,6.7,25000000,132963417,104,FALSE,"Horror, Mystery",high
Devil,en,2010-09-16,27.48,2466,6,10000000,33583175,80,FALSE,"Horror, Mystery, Thriller",low
The Collector,en,2009-07-09,27.476,1194,6.6,3400000,114000000,88,FALSE,"Horror, Thriller",high
Oculus,en,2013-09-08,27.473,2536,6.4,5000000,44459951,104,FALSE,Horror,high
The Rite,en,2011-01-28,27.4,1786,6.1,37000000,96047633,114,FALSE,"Drama, Horror, Thriller",high
The Strangers,en,2008-05-29,27.332,2000,6.1,9000000,82391145,86,FALSE,"Horror, Mystery, Thriller",high
Triangle,en,2009-10-16,27.252,2003,6.9,12000000,1594955,99,FALSE,Horror,high
The Woman in Black 2: Angel of Death,en,2014-12-30,27.191,908,5.2,15000000,48854305,98,FALSE,"Drama, Horror, Thriller",low
The Night House,en,2021-07-15,27.185,730,6.7,0,14590542,107,FALSE,"Drama, Horror, Mystery, Thriller",high
Death Becomes Her,en,1992-07-30,27.116,2148,6.8,55000000,149022650,104,FALSE,"Comedy, Fantasy, Horror",high
The Human Centipede 3 (Final Sequence),en,2015-05-22,27.09,605,3.7,0,16184,103,FALSE,Horror,low
Legend Quest: The Legend of the Guanajuato Mummies,es,2014-10-30,27.046,103,7.9,0,6300000,83,FALSE,"Adventure, Animation, Comedy, Family, Horror",high
The Witches,en,1990-05-25,27.034,1037,6.9,0,15360553,91,FALSE,"Adventure, Family, Fantasy, Horror",high
The Fog,en,1980-02-08,26.999,1166,6.7,1000000,21378361,89,FALSE,Horror,high
Case 39,en,2009-08-13,26.995,1935,6.3,27000000,29000000,109,FALSE,"Horror, Mystery, Thriller",high
Firestarter,en,2022-05-12,26.989,373,6,12000000,10593000,94,FALSE,"Drama, Horror, Science Fiction, Thriller",low
Paranormal Activity 4,en,2012-10-17,26.924,1619,5.4,5000000,142817992,97,FALSE,Horror,low
Alien Resurrection,en,1997-11-12,26.916,3981,6.1,70000000,162000000,109,FALSE,"Action, Horror, Science Fiction",high
Eden Lake,en,2008-09-12,26.874,1388,6.8,12850990,3984669,91,FALSE,"Horror, Thriller",high
Krampus,en,2015-11-26,26.847,1709,6.1,15000000,61788393,98,FALSE,"Comedy, Fantasy, Horror",high
You're Next,en,2011-09-10,26.774,2041,6.6,1000000,14347000,94,FALSE,"Horror, Mystery, Thriller",high
The Invitation,en,2015-08-05,26.766,2195,6.5,1000000,354835,100,FALSE,"Horror, Thriller",high
House,en,1986-02-27,26.73,433,6.1,3000000,19444631,93,FALSE,"Comedy, Horror",high
Unfriended,en,2014-10-22,26.72,2994,5.5,1000000,62882090,82,FALSE,"Horror, Mystery, Thriller",low
Little Nicky,en,2000-11-10,26.422,1520,5.9,85000000,58292295,90,FALSE,"Comedy, Fantasy, Horror, Romance",low
Christine,en,1983-05-11,26.38,1571,6.8,9700000,21200000,110,FALSE,Horror,high
10 Cloverfield Lane,en,2016-03-10,26.205,6808,7,15000000,108286421,104,FALSE,"Drama, Horror, Science Fiction, Thriller",high
Jaws 2,en,1978-06-16,26.18,1540,5.9,20000000,187884007,116,FALSE,"Horror, Thriller",low
Suspiria,en,2018-10-11,26.178,2075,6.9,20000000,6348889,152,FALSE,"Drama, Fantasy, Horror, Thriller",high
Twin Peaks: Fire Walk with Me,en,1992-06-03,26.068,1553,7.3,10000000,4160851,135,FALSE,"Drama, Horror, Mystery",high
Piranha 3DD,en,2012-05-11,26.066,854,4.3,5000000,8493728,83,FALSE,"Comedy, Horror, Thriller",low
Pride and Prejudice and Zombies,en,2016-02-04,26.04,1920,6.1,28000000,16457494,108,FALSE,"Comedy, Horror, Romance, Thriller",high
The Silence,en,2019-05-16,25.889,1269,6,0,2325977,91,FALSE,"Drama, Fantasy, Horror, Thriller",low
Mandy,en,2018-09-13,25.83,1537,6.2,6000000,1214525,122,FALSE,"Action, Fantasy, Horror, Thriller",high
From Dusk Till Dawn,en,1996-01-19,25.818,4977,7,19000000,25836616,108,FALSE,"Action, Crime, Horror, Thriller",high
Wolf Creek,en,2005-09-16,25.809,908,6.2,1000000,27762648,104,FALSE,"Horror, Thriller",high
Exorcist: The Beginning,en,2004-08-20,25.745,621,5.4,80000000,78000586,114,FALSE,"Horror, Mystery, Thriller",low
From Hell,en,2001-02-08,25.656,2380,6.7,35000000,74558115,122,FALSE,"Horror, Mystery, Thriller",high
Sweeney Todd: The Demon Barber of Fleet Street,en,2007-01-25,25.646,5091,7.2,50000000,152000000,116,FALSE,"Drama, Horror",high
The Messengers,en,2007-02-02,25.592,677,5.7,16000000,55060212,90,FALSE,"Horror, Mystery, Thriller",low
Resident Evil: Apocalypse,en,2004-09-10,25.504,3635,6.3,45000000,129394835,94,FALSE,"Action, Horror, Science Fiction",high
The Pyramid,en,2014-12-04,25.486,857,5.2,6500000,16861137,89,FALSE,Horror,low
Candyman,en,1992-10-16,25.43,1269,6.6,6000000,25792310,100,FALSE,"Drama, Horror, Thriller",high
Dracula Untold,en,2014-10-01,25.427,5364,6.4,70000000,217124280,92,FALSE,"Action, Drama, Fantasy, Horror, War",high
7 Guardians of the Tomb,en,2018-01-19,25.397,161,5.5,0,7910928,90,FALSE,"Action, Adventure, Horror",low
Antichrist,en,2009-05-20,25.395,2138,6.7,11000000,791867,108,FALSE,"Drama, Horror, Thriller",high
Mirrors,en,2008-08-15,25.389,1520,6.2,35000000,72436439,111,FALSE,"Drama, Fantasy, Horror, Mystery, Thriller",high
The Lodge,en,2020-01-16,25.369,942,6.1,0,2679585,108,FALSE,"Drama, Horror, Thriller",high
Cat's Eye,en,1985-04-12,25.297,508,6.7,7000000,13100000,94,FALSE,"Horror, Thriller",high
Jaws: The Revenge,en,1987-07-17,25.29,817,4.1,23000000,51881013,89,FALSE,"Adventure, Horror, Thriller",low
Night of the Living Dead,en,1968-10-04,25.289,1935,7.6,114000,30000000,96,FALSE,"Horror, Thriller",high
Dawn of the Dead,en,1978-09-02,25.198,1674,7.5,650000,55000000,127,FALSE,Horror,high
Cranston Academy: Monster Zone,en,2020-04-29,25.191,89,6.1,0,641308,80,FALSE,"Adventure, Animation, Fantasy, Horror, Science Fiction",high
Stigmata,en,1999-09-10,25.137,877,6.2,29000000,50041732,103,FALSE,"Horror, Thriller",high
The Lighthouse,en,2019-10-18,25.082,3687,7.5,11000000,18123239,109,FALSE,"Drama, Fantasy, Horror, Thriller",high
Men,en,2022-05-20,25.063,362,6.3,0,7168717,100,FALSE,"Fantasy, Horror, Thriller",high
A Cure for Wellness,en,2017-02-15,25,3345,6.3,40000000,26620002,146,FALSE,"Horror, Mystery, Science Fiction, Thriller",high
The Legend of the Chupacabras,es,2016-10-21,24.942,111,7.2,1600000,5138140,81,FALSE,"Action, Adventure, Animation, Family, Fantasy, History, Horror",high
"Silent Night, Deadly Night",en,1984-11-09,24.794,264,5.8,1065000,2491460,79,FALSE,"Horror, Thriller",low
Run,en,2020-11-20,24.544,1901,7.4,0,265964,90,FALSE,"Drama, Horror, Thriller",high
The Crazies,en,2010-02-26,24.487,1697,6.2,20000000,54956140,101,FALSE,"Action, Horror, Mystery",high
Spawn,en,1997-07-31,24.428,1086,5.4,40000000,87840042,96,FALSE,"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller",low
Resident Evil,en,2002-03-15,24.356,5385,6.6,33000000,102984862,100,FALSE,"Action, Horror, Science Fiction",high
Red Riding Hood,en,2011-03-11,24.3,2817,6,42000000,89162162,100,FALSE,"Fantasy, Horror, Thriller",low
Unfriended: Dark Web,en,2018-07-19,24.191,1281,6.3,1000000,9602624,93,FALSE,"Horror, Mystery, Thriller",high
Hellraiser: Judgment,en,2018-02-13,24.182,204,5.1,350000,426290,81,FALSE,Horror,low
Ringu 2,ja,1999-01-23,24.177,322,5.7,6000000,31365000,92,FALSE,"Horror, Mystery, Science Fiction",low
Pet Sematary II,en,1992-08-28,24.157,408,5.3,8000000,17092453,100,FALSE,Horror,low
An American Werewolf in Paris,en,1997-05-29,24.146,544,5.9,22000000,26570463,105,FALSE,"Comedy, Horror",low
Jaws 3-D,en,1983-07-22,24.146,1015,4.4,20500000,87987055,99,FALSE,"Horror, Thriller",low
The Bye Bye Man,en,2017-01-12,24.11,1086,5.2,7400000,26667197,96,FALSE,"Horror, Thriller",low
The Fly,en,1986-08-15,24.061,3512,7.4,15000000,60629159,96,FALSE,"Horror, Science Fiction",high
Paranormal Activity: The Ghost Dimension,en,2015-10-21,24.036,1198,5.3,10000000,78096553,88,FALSE,"Horror, Thriller",low
The Skeleton Key,en,2005-07-29,23.969,1736,6.6,43000000,93983911,104,FALSE,"Drama, Horror, Mystery, Thriller",high
Ma,en,2019-05-29,23.93,1823,5.8,5000000,51749995,99,FALSE,"Horror, Thriller",low
The Amityville Horror,en,1979-07-26,23.878,704,6.3,0,86432000,117,FALSE,Horror,high
"I, Frankenstein",en,2014-01-22,23.863,1623,5.3,65000000,76801179,92,FALSE,"Horror, Thriller",low
The Ghost and the Darkness,en,1996-10-11,23.769,807,6.7,50000000,38619405,109,FALSE,"Adventure, Horror",high
The Divine Fury,ko,2019-07-31,23.732,199,6.7,0,11750306,129,FALSE,"Action, Horror",high
Traffik,en,2018-04-20,23.723,393,6.2,4000000,5132274,96,FALSE,"Horror, Thriller",high
The Wretched,en,2020-03-09,23.713,458,6,0,3758846,95,FALSE,"Horror, Mystery, Thriller",low
Dominion: Prequel to The Exorcist,en,2005-05-20,23.695,263,5.3,30000000,251495,117,FALSE,"Drama, Horror",low
Maggie,en,2015-05-08,23.679,1415,5.4,4000000,187112,95,FALSE,"Drama, Horror, Mystery",low
Ted Bundy,en,2002-11-22,23.585,124,5.8,1200000,68716,99,FALSE,"Crime, Drama, Horror",low
The Lost Boys,en,1987-07-31,23.542,1598,7.1,8500000,32222567,97,FALSE,"Comedy, Horror",high
The Collection,en,2012-09-21,23.464,833,6.3,0,6842058,82,FALSE,"Horror, Thriller",high
Poltergeist II: The Other Side,en,1986-05-23,23.377,520,6,19000000,40996665,91,FALSE,"Horror, Thriller",low
V/H/S,en,2012-07-28,23.35,1217,6.1,0,100345,116,FALSE,"Horror, Thriller",high
eXistenZ,en,1999-04-14,23.31,1548,6.8,15000000,2856712,97,FALSE,"Action, Horror, Science Fiction, Thriller",high
Book of Shadows: Blair Witch 2,en,2000-10-27,23.306,650,4.2,15000000,47737094,90,FALSE,"Horror, Mystery, Thriller",low
Pandorum,en,2009-09-08,23.262,1952,6.5,33000000,20648328,108,FALSE,"Action, Horror, Mystery, Science Fiction, Thriller",high
I Still Know What You Did Last Summer,en,1998-11-13,23.219,1225,5.3,65000000,40002112,100,FALSE,"Horror, Mystery, Thriller",low
Maximum Overdrive,en,1986-07-25,23.138,568,5.7,10000000,7433663,97,FALSE,"Action, Horror, Science Fiction",low
Dreamcatcher,en,2003-03-21,23.125,1486,5.5,68000000,75700000,136,FALSE,"Drama, Horror, Science Fiction, Thriller",low
Sadako vs. Kayako,ja,2016-06-18,23.105,168,5.4,0,8992523,98,FALSE,Horror,low
Red Eye,en,2005-08-19,23.036,1546,6.3,26000000,57891803,85,FALSE,"Horror, Thriller",high
The Bad Batch,en,2017-06-23,22.996,895,5.2,6000000,180851,119,FALSE,"Drama, Horror, Science Fiction",low
Rosemary's Baby,en,1968-06-12,22.975,3211,7.8,3200000,33395426,138,FALSE,"Drama, Horror, Thriller",high
Zombeavers,en,2014-10-20,22.944,563,4.9,0,14947,85,FALSE,"Action, Comedy, Horror",low
Raw,fr,2016-11-11,22.941,2681,7.1,3500000,4100000,99,FALSE,"Comedy, Drama, Horror",high
Spree,en,2020-08-14,22.859,284,6.6,0,43840,93,FALSE,"Comedy, Horror, Thriller",high
The Woman in Black,en,2012-02-03,22.819,3088,6.1,17000000,127730736,95,FALSE,"Drama, Horror, Thriller",high
Incarnate,en,2016-12-01,22.736,477,5.3,5000000,6341855,91,FALSE,"Horror, Thriller",low
The Omen,en,2006-06-06,22.728,871,5.5,25000000,119188334,110,FALSE,Horror,low
Come Play,en,2020-10-28,22.708,477,6.3,9000000,8119285,96,FALSE,Horror,high
Deliver Us from Evil,en,2014-07-01,22.676,1760,6.2,30000000,87937815,118,FALSE,"Crime, Horror, Thriller",high
The Bar,es,2017-02-15,22.662,1149,6.3,6045750,3662671,102,FALSE,"Comedy, Horror, Thriller",high
Till Death,en,2021-07-02,22.651,518,6.8,0,495268,89,FALSE,"Horror, Thriller",high
Revenge,fr,2017-01-25,22.601,1457,6.4,2900000,692079,109,FALSE,"Action, Horror, Thriller",high
mother!,en,2017-09-13,22.57,5863,7,30000000,44516999,121,FALSE,"Drama, Horror, Mystery",high
Slither,en,2006-03-31,22.55,1184,6.5,15000000,12834936,95,FALSE,"Comedy, Horror, Science Fiction",high
Hellraiser: Bloodline,en,1996-03-08,22.544,395,5.3,4000000,16675000,86,FALSE,"Horror, Science Fiction",low
Winchester,en,2018-02-02,22.504,1543,5.9,3500000,44019588,100,FALSE,"Horror, Thriller",low
Blair Witch,en,2016-09-15,22.395,1663,5.2,5000000,45172994,89,FALSE,"Horror, Thriller",low
Vacancy,en,2007-04-20,22.325,1162,6.2,19000000,35300645,85,FALSE,"Horror, Thriller",high
Ju-on: The Grudge,ja,2002-10-18,22.301,610,6.7,3500000,3657876,92,FALSE,Horror,high
The Grudge 2,en,2006-10-12,22.217,851,5.5,20000000,39143839,102,FALSE,"Horror, Thriller",low
The Forest,en,2016-01-07,22.17,1543,5.2,10000000,37608299,95,FALSE,"Horror, Mystery, Thriller",low
The Cursed,en,2021-07-28,22.148,116,6.8,0,4588389,111,FALSE,"Fantasy, Horror, Mystery",high
Cooties,en,2014-10-10,22.094,604,5.9,0,581011,88,FALSE,"Comedy, Horror",low
When a Stranger Calls,en,2006-02-03,21.961,886,5.7,15000000,67062123,87,FALSE,"Horror, Mystery",low
Cargo,en,2017-10-06,21.935,1476,6.4,0,56385,105,FALSE,"Drama, Horror, Thriller",high
Species II,en,1998-04-10,21.794,537,5.1,35000000,19165560,93,FALSE,"Action, Horror, Science Fiction",low
The House That Jack Built,en,2018-10-04,21.768,2186,7.2,9800000,5566776,153,FALSE,"Crime, Drama, Horror, Thriller",high
Urban Legends: Final Cut,en,2000-09-22,21.559,381,4.8,14000000,38574362,97,FALSE,"Horror, Mystery, Thriller",low
The Devil Inside,en,2012-01-06,21.514,678,4.7,1000000,101758490,83,FALSE,"Horror, Thriller",low
The Seventh Sign,en,1988-04-01,21.47,287,6.1,0,18875011,97,FALSE,"Fantasy, Horror",high
Stay Alive,en,2006-03-24,21.457,606,5.8,9000000,27105095,85,FALSE,"Horror, Thriller",low
The Uninvited,en,2009-01-30,21.284,1252,6.5,0,41624046,87,FALSE,Horror,high
A Nightmare on Elm Street 3: Dream Warriors,en,1987-02-27,21.198,1376,6.7,4000000,44800000,96,FALSE,"Horror, Thriller",high
Fright Night,en,2011-08-18,21.17,1634,6.2,30000000,41002607,106,FALSE,"Comedy, Horror",high
The Eye,en,2008-02-01,21.115,861,5.8,12000000,58010320,98,FALSE,"Drama, Horror, Thriller",low
The Fog,en,2005-10-14,21.112,598,4.5,18000000,46201432,100,FALSE,"Horror, Thriller",low
The Haunting,en,1999-07-23,21.112,1132,5.4,80000000,91188905,113,FALSE,"Fantasy, Horror, Mystery, Thriller",low
The Last Exorcism,en,2010-08-27,21.06,839,5.6,1800000,67738090,87,FALSE,"Horror, Thriller",low
Let Me In,en,2010-10-01,20.924,1728,6.8,20000000,24145613,116,FALSE,"Drama, Horror, Mystery",high
A Nightmare on Elm Street: The Dream Child,en,1989-08-11,20.909,972,5.4,6000000,22168359,89,FALSE,"Horror, Thriller",low
Snakes on a Plane,en,2006-08-17,20.872,1448,5.4,33000000,62022014,105,FALSE,"Action, Crime, Horror, Thriller",low
The Cave,en,2005-08-26,20.815,745,5.3,30000000,33296457,97,FALSE,"Action, Adventure, Horror, Thriller",low
Devil's Due,en,2014-01-08,20.748,448,4.6,7000000,36433975,89,FALSE,Horror,low
Land of the Dead,en,2005-06-18,20.544,1287,6.2,15000000,47074133,93,FALSE,"Horror, Science Fiction, Thriller",high
Silent Night,en,2012-11-30,20.541,224,5.3,0,14567,94,FALSE,"Comedy, Horror, Mystery, Thriller",low
Lake Placid,en,1999-07-15,20.488,909,5.9,27000000,56870414,82,FALSE,"Action, Comedy, Horror, Science Fiction, Thriller",low
Fantasy Island,en,2020-02-12,20.453,2020,5.9,7000000,47078545,109,FALSE,"Adventure, Fantasy, Horror, Mystery",low
Sleepwalkers,en,1992-04-10,20.416,411,6,15000000,30524763,91,FALSE,"Fantasy, Horror, Thriller",low
Cabin Fever,en,2003-08-15,20.364,1041,5.7,1500000,30553395,93,FALSE,Horror,low
Teeth,en,2007-06-17,20.36,588,5.3,2000000,2340110,94,FALSE,"Comedy, Horror",low
One Missed Call,en,2008-01-04,20.351,646,5.4,20000000,45847751,87,FALSE,"Horror, Mystery, Thriller",low
The Wailing,ko,2016-05-12,20.26,1313,7.3,10951000,49851770,155,FALSE,"Horror, Mystery",high
Village of the Damned,en,1995-04-28,20.256,661,6,22000000,9418365,99,FALSE,"Horror, Science Fiction, Thriller",low
Eight Legged Freaks,en,2002-07-17,20.211,980,5.7,30000000,45867333,99,FALSE,"Action, Comedy, Horror, Thriller",low
Amityville II: The Possession,en,1982-09-24,20.16,268,5.8,5000000,12534817,104,FALSE,Horror,low
Ghost Stories,en,2018-01-20,20.157,1019,6.4,0,135095,98,FALSE,"Drama, Horror",high
Dracula 2000,en,2000-12-22,20.145,532,5.1,28000000,47053625,99,FALSE,"Horror, Thriller",low
Critters 2,en,1988-04-29,20.123,316,6,4500000,3813293,86,FALSE,"Comedy, Horror, Science Fiction",low
Troll Hunter,nb,2010-10-29,20.083,1312,6.7,3500000,4159678,103,FALSE,"Fantasy, Horror",high
Psycho,en,1998-12-04,20.045,828,5.1,60000000,37141130,105,FALSE,"Horror, Mystery, Thriller",low
Stitches,en,2012-05-19,19.926,346,6.4,100000,95000,86,FALSE,Horror,high
Alien³,en,1992-05-22,19.883,4615,6.3,50000000,159773545,114,FALSE,"Action, Horror, Science Fiction",high
Boo 2! A Madea Halloween,en,2017-10-20,19.835,445,5.7,25000000,48333932,103,FALSE,"Comedy, Horror",low
My Bloody Valentine,en,2009-01-16,19.81,940,5.5,15000000,102836002,101,FALSE,"Horror, Mystery",low
End of Days,en,1999-11-24,19.738,1496,6,100000000,211989043,121,FALSE,"Action, Fantasy, Horror, Mystery",low
The Void,en,2016-09-22,19.684,984,5.9,0,151042,90,FALSE,"Horror, Mystery, Science Fiction",low
Dead Calm,en,1989-04-07,19.681,583,6.6,10400000,7825000,96,FALSE,"Horror, Thriller",high
13 Sins,en,2014-04-18,19.675,917,6.3,5000000,13809,93,FALSE,"Horror, Thriller",high
V/H/S/2,en,2013-06-06,19.644,831,6.2,0,21833,96,FALSE,"Horror, Thriller",high
Honeymoon,en,2014-09-12,19.58,507,5.4,1000000,9318,88,FALSE,"Horror, Science Fiction",low
High Lane,fr,2009-06-24,19.573,347,6,0,2141798,90,FALSE,"Action, Horror, Thriller",low
The Possession of Michael King,en,2014-08-14,19.566,323,6,0,2405143,83,FALSE,Horror,low
Mara,en,2018-08-22,19.548,313,5.7,5000000,470901,100,FALSE,"Crime, Horror, Thriller",low
The Grudge,en,2020-01-01,19.517,975,5.6,10000000,42800000,93,FALSE,"Horror, Mystery",low
The Blob,en,1988-08-05,19.514,672,6.7,19000000,8247943,95,FALSE,"Horror, Science Fiction",high
Lords of Chaos,en,2018-09-20,19.498,325,6.7,0,365353,118,FALSE,"Drama, Horror, Music, Thriller",high
Green Room,en,2015-09-25,19.49,2272,6.7,5000000,3769214,95,FALSE,"Crime, Horror, Thriller",high
Prey,en,2007-05-18,19.43,286,5.7,0,3643652,92,FALSE,"Adventure, Horror, Thriller",low
Armed Response,en,2017-08-04,19.422,129,5.3,0,52036,93,FALSE,"Action, Horror, Thriller",low
The Frighteners,en,1996-07-18,19.365,1224,6.9,30000000,29359216,110,FALSE,"Comedy, Horror",high
Silver Bullet,en,1985-10-10,19.296,438,6.5,7000000,12400000,95,FALSE,Horror,high
Tusk,en,2014-09-19,19.296,1078,5.5,3000000,1882074,102,FALSE,"Comedy, Horror",low
Deep Blue Sea,en,1999-07-28,19.294,2002,5.9,60000000,164648142,105,FALSE,"Action, Horror, Science Fiction",low
Doom,en,2005-10-20,19.26,1849,5.1,60000000,58072119,105,FALSE,"Action, Horror, Science Fiction",low
Color Out of Space,en,2019-09-07,19.181,1057,6,6000000,1023510,111,FALSE,"Horror, Mystery, Science Fiction, Thriller",low
Open Water,en,2004-08-06,19.112,905,5.5,130000,54667954,79,FALSE,"Drama, Horror, Thriller",low
Hide and Seek,en,2005-01-27,19.095,1339,6.4,30000000,127369981,101,FALSE,"Horror, Mystery",high
The Prodigy,en,2019-02-06,19.045,847,6.2,6000000,21150265,92,FALSE,"Horror, Thriller",high
Orca,en,1977-07-22,19.033,310,6.2,6000000,14717854,92,FALSE,"Adventure, Horror",high
Friend Request,en,2016-01-07,19.032,1117,5.5,9900000,10975390,92,FALSE,"Horror, Thriller",low
Dark Skies,en,2013-02-21,18.95,1532,6.3,3500000,25174316,97,FALSE,"Horror, Science Fiction, Thriller",high
The Recall,en,2017-06-02,18.926,299,4.6,5000000,1319566,91,FALSE,"Horror, Science Fiction",low
The Lords of Salem,en,2012-09-10,18.862,707,5.5,1500000,1165882,101,FALSE,"Horror, Thriller",low
31,en,2016-09-15,18.82,662,5.4,1500000,850419,102,FALSE,"Crime, Horror",low
The Grudge 3,en,2009-05-12,18.813,495,5.4,5000000,38610009,90,FALSE,"Horror, Mystery, Thriller",low
Possessor Uncut,en,2020-10-02,18.804,580,6.4,0,841334,104,FALSE,"Horror, Science Fiction, Thriller",high
Haunted Hospital: Heilstatten,de,2018-02-22,18.588,196,5.3,0,2330777,89,FALSE,Horror,low
The Gallows,en,2015-07-10,18.548,841,5,100000,42664410,87,FALSE,"Horror, Thriller",low
Poltergeist III,en,1988-06-10,18.531,383,5.2,10500000,14144000,98,FALSE,"Horror, Thriller",low
Queen of the Damned,en,2002-02-10,18.506,840,6.1,35000000,45479110,101,FALSE,"Drama, Fantasy, Horror",high
The Wicker Man,en,2006-08-31,18.481,1102,4.3,40000000,38805380,102,FALSE,"Horror, Mystery, Thriller",low
Don't Be Afraid of the Dark,en,2010-11-06,18.462,899,5.7,25000000,36993168,99,FALSE,"Fantasy, Horror, Thriller",low
