"title","original_language","release_date","popularity","vote_count","vote_average","budget","revenue","runtime","adult","genre_names","high_rating"
"The Witch in the Window","en",2018-07-23,9.365,193,6.3,0,0,77,FALSE,"Drama, Horror",TRUE
"The Crooked Man","en",2016-10-01,9.36,30,4.5,0,0,87,FALSE,"Horror",FALSE
"Maligno","es",2016-07-14,9.358,20,6,150000,4e+05,0,FALSE,"Horror, Mystery",TRUE
"Eyes Without a Face","fr",1960-01-11,9.356,541,7.6,0,58656,84,FALSE,"Drama, Horror, Thriller",TRUE
"Here Alone","en",2016-09-16,9.355,168,5.6,0,0,97,FALSE,"Horror, Science Fiction, Thriller",TRUE
"Bride of Re-Animator","en",1990-11-14,9.352,297,6.2,2e+06,0,96,FALSE,"Comedy, Horror, Science Fiction",TRUE
"Black Candles","es",1982-01-01,9.347,117,6.3,0,200298,84,FALSE,"Horror",TRUE
"Tormented","en",2009-05-22,9.346,108,5.2,0,1362653,91,FALSE,"Comedy, Horror",FALSE
"The Woods","en",2006-09-25,9.344,206,5.7,0,0,91,FALSE,"Horror, Mystery, Thriller",TRUE
"Castle Freak","en",1995-11-14,9.332,149,6.2,0,0,95,FALSE,"Drama, Horror, Mystery, Thriller",TRUE
"Sisters","en",1973-03-26,9.332,276,6.7,5e+05,1e+06,93,FALSE,"Horror, Mystery, Thriller",TRUE
"The Harvest","en",2015-04-10,9.328,167,6,0,0,104,FALSE,"Horror, Mystery, Thriller",TRUE
"Highwaymen","en",2004-02-13,9.318,174,5.7,0,371396,80,FALSE,"Action, Crime, Horror, Thriller",TRUE
"Bruiser","en",2000-02-13,9.317,110,5.5,5e+06,0,99,FALSE,"Horror, Thriller",TRUE
"The Bunker Game","en",2022-02-24,9.306,52,5.3,0,0,92,FALSE,"Horror, Mystery, Thriller",FALSE
"The Nest","en",1988-05-13,9.286,50,4.9,0,0,89,FALSE,"Horror, Science Fiction, Thriller",FALSE
"Little Otik","cs",2001-01-25,9.284,108,7.2,0,0,132,FALSE,"Comedy, Drama, Horror",TRUE
"Nightbreed","en",1990-02-16,9.272,354,6.4,1.1e+07,8862354,102,FALSE,"Action, Fantasy, Horror",TRUE
"Beyond Skyline","en",2017-10-20,9.264,852,5.2,2e+07,992181,105,FALSE,"Action, Adventure, Horror, Science Fiction",FALSE
"The Puppet Masters","en",1994-10-21,9.261,141,5.8,0,8638072,109,FALSE,"Horror, Science Fiction, Thriller",TRUE
"We Summon the Darkness","en",2020-08-28,9.255,160,5.4,0,164677,91,FALSE,"Horror, Thriller",TRUE
"We Are the Night","de",2010-10-28,9.252,222,6,0,0,100,FALSE,"Drama, Fantasy, Horror, Romance",TRUE
"Scooby-Doo! and the Spooky Scarecrow","en",2013-09-10,9.244,61,8.9,0,0,23,FALSE,"Animation, Comedy, Family, Horror, Mystery",TRUE
"Ginger Snaps Back: The Beginning","en",2004-07-10,9.243,199,6.1,0,0,94,FALSE,"Drama, Horror",TRUE
"The Hitcher II: I've Been Waiting","en",2003-07-15,9.24,74,4.8,0,0,93,FALSE,"Action, Horror, Thriller",FALSE
"Mega Piranha","en",2010-04-10,9.224,125,3.2,3e+06,0,92,FALSE,"Action, Adventure, Horror, Science Fiction",FALSE
"Storage 24","en",2012-06-29,9.22,111,4.4,0,0,87,FALSE,"Horror, Science Fiction",FALSE
"Tailgate","nl",2019-10-31,9.216,183,6.2,0,0,85,FALSE,"Horror, Thriller",TRUE
"RoboCroc","en",2013-09-14,9.211,41,5,0,0,77,FALSE,"Fantasy, Horror, Science Fiction",FALSE
"Frankenhooker","en",1990-06-01,9.197,232,6.1,2500000,205068,85,FALSE,"Comedy, Horror, Science Fiction",TRUE
"The Hunchback of Notre Dame","fr",1956-12-19,9.193,75,6.6,1e+06,0,115,FALSE,"Drama, History, Horror",TRUE
"Rabbits","en",2002-01-01,9.192,215,6.8,0,0,42,FALSE,"Fantasy, Horror, Mystery",TRUE
"The Quiet Family","ko",1998-04-25,9.183,137,7.1,0,0,98,FALSE,"Comedy, Horror, Thriller",TRUE
"Hatchet III","en",2013-06-14,9.183,292,5.7,0,0,81,FALSE,"Action, Comedy, Horror, Thriller",TRUE
"The Gravedancers","en",2006-11-18,9.173,152,5.8,0,478535,95,FALSE,"Horror, Thriller",TRUE
"Maniac Cop 2","en",1990-12-13,9.165,170,5.9,4e+06,0,90,FALSE,"Action, Horror, Thriller",TRUE
"The Wilding","en",2016-01-01,9.165,15,4.6,0,0,83,FALSE,"Horror",FALSE
"Aftermath","es",1994-10-08,9.162,185,5.5,0,0,30,FALSE,"Crime, Horror",TRUE
"Grabbers","en",2012-08-10,9.159,361,6.1,0,427335,94,FALSE,"Comedy, Horror, Mystery, Science Fiction, Thriller",TRUE
"Funny Games","en",2008-03-14,9.149,1709,6.6,1.5e+07,7938872,111,FALSE,"Drama, Horror, Thriller",TRUE
"Tumbbad","hi",2018-10-12,9.147,163,7.6,0,0,113,FALSE,"Fantasy, Horror",TRUE
"Inbred","en",2011-09-30,9.143,97,5.5,0,0,90,FALSE,"Comedy, Horror",TRUE
"Santa's Slay","en",2005-10-25,9.142,174,5.4,0,0,78,FALSE,"Comedy, Fantasy, Horror",TRUE
"The Dark Half","en",1993-04-23,9.139,308,6,1.5e+07,10611160,122,FALSE,"Horror, Mystery",TRUE
"Savaged","en",2014-08-06,9.125,160,6.6,0,0,91,FALSE,"Action, Drama, Horror, Thriller",TRUE
"The Stuff","en",1985-06-14,9.111,341,5.9,1700000,0,93,FALSE,"Comedy, Horror, Science Fiction",TRUE
"Dead Trigger","en",2017-07-19,9.111,30,3.8,1e+07,151493,92,FALSE,"Action, Horror",FALSE
"Warlock","en",1989-06-01,9.103,293,6.3,7e+06,9094451,103,FALSE,"Adventure, Comedy, Fantasy, Horror",TRUE
"Casshern","ja",2004-04-24,9.091,208,5.9,6e+06,12353768,141,FALSE,"Drama, Horror, Science Fiction",TRUE
"Sleepaway Camp II: Unhappy Campers","en",1988-10-31,9.091,204,5.9,0,0,80,FALSE,"Comedy, Horror",TRUE
"Belphegor, Phantom of the Louvre","fr",2001-04-03,9.09,185,4.5,0,0,97,FALSE,"Fantasy, Horror, Mystery",FALSE
"Rats: Night of Terror","it",1984-08-03,9.09,78,4.6,0,0,97,FALSE,"Horror, Science Fiction",FALSE
"Boo!","en",2019-02-28,9.088,65,5.5,0,0,91,FALSE,"Drama, Horror, Mystery, Thriller",TRUE
"Delirium","en",2018-01-19,9.078,39,4.8,1e+06,0,86,FALSE,"Horror, Thriller",FALSE
"Virus","ja",1980-06-26,9.077,45,6.3,1.6e+07,0,156,FALSE,"Drama, Horror, Science Fiction",TRUE
"Deathgasm","en",2015-08-28,9.075,496,6.3,0,0,86,FALSE,"Comedy, Horror, Music",TRUE
"Seed","en",2007-04-27,9.072,98,3.9,1e+07,155362,90,FALSE,"Horror",FALSE
"Luciferina","es",2018-03-15,9.066,48,6.1,0,0,115,FALSE,"Drama, Horror",TRUE
"Club Dread","en",2004-02-27,9.049,290,5.2,8500000,5001655,104,FALSE,"Comedy, Horror",FALSE
"I Spit on Your Grave: Déjà Vu","en",2019-04-23,9.049,79,3.1,0,0,148,FALSE,"Horror, Thriller",FALSE
"Even the Wind Is Afraid","es",1968-05-30,9.045,94,7.8,0,0,88,FALSE,"Drama, Fantasy, Horror, Thriller",TRUE
"Piranha II: The Spawning","en",1982-08-14,9.044,179,4.4,145786,0,84,FALSE,"Horror",FALSE
"Mostly Ghostly","en",2008-09-30,9.039,42,6.3,3600000,0,93,FALSE,"Family, Fantasy, Horror",TRUE
"The Return","en",2006-11-10,9.036,485,5.9,1.5e+07,11992014,85,FALSE,"Drama, Horror, Thriller",TRUE
"Bad Biology","en",2008-02-08,9.036,107,4.7,0,0,84,FALSE,"Fantasy, Horror",FALSE
"Exorcismus","en",2010-12-29,9.032,98,5.6,0,0,98,FALSE,"Horror, Thriller",TRUE
"Dead Rising: Watchtower","en",2015-03-27,9.027,295,5.1,0,0,118,FALSE,"Action, Horror, Science Fiction",FALSE
"Hounds of Love","en",2016-10-07,9.027,279,6.1,0,0,108,FALSE,"Crime, Drama, Horror",TRUE
"Alien Abduction: Incident in Lake County","en",1998-01-20,9.018,138,7.3,0,0,93,FALSE,"Drama, Horror, Science Fiction",TRUE
"Evils of the Night","en",1985-10-10,9.018,36,3.5,0,0,84,FALSE,"Horror, Mystery, Science Fiction, Thriller",FALSE
"The VelociPastor","en",2018-09-28,9.018,108,4.8,35000,0,75,FALSE,"Action, Comedy, Horror",FALSE
"Berberian Sound Studio","en",2012-08-30,9.016,277,6,0,0,92,FALSE,"Drama, Horror, Thriller",TRUE
"In Darkness We Fall","es",2014-01-24,9.015,127,5.7,0,0,76,FALSE,"Adventure, Horror",TRUE
"Possum","en",2018-10-26,9.011,158,6.3,0,33225,85,FALSE,"Drama, Horror, Thriller",TRUE
"Dread","en",2009-07-14,9.01,183,5.4,0,0,108,FALSE,"Drama, Horror, Thriller",TRUE
"Rare Exports: A Christmas Tale","fi",2010-12-03,9,429,6.3,0,0,83,FALSE,"Fantasy, Horror",TRUE
"Brain Dead","en",1990-01-16,8.996,76,5.9,2e+06,0,85,FALSE,"Horror, Science Fiction, Thriller",TRUE
"Gestapo's Last Orgy","it",1977-01-21,8.996,32,5.1,0,0,81,FALSE,"Drama, Horror, War",FALSE
"Return to Horror High","en",1987-01-28,8.993,132,5.4,0,0,95,FALSE,"Comedy, Horror",TRUE
"Tower of Terror","en",1997-10-26,8.992,81,6.5,0,0,89,FALSE,"Comedy, Family, Horror, Thriller, TV Movie",TRUE
"Fascination","fr",1979-11-01,8.991,69,6.1,0,0,80,FALSE,"Drama, Horror",TRUE
"The Monkey's Paw","en",2013-10-08,8.991,83,4.6,0,0,88,FALSE,"Horror, Thriller",FALSE
"Braid","en",2019-01-10,8.991,119,5.9,0,0,85,FALSE,"Horror, Mystery, Thriller",TRUE
"Nightmare Cinema","en",2018-06-21,8.987,193,6,0,0,119,FALSE,"Horror",TRUE
"Satanic Panic","en",2019-10-28,8.987,91,5.3,0,0,89,FALSE,"Comedy, Horror",FALSE
"Dr. Terror's House of Horrors","en",1965-02-23,8.974,115,6.5,0,0,98,FALSE,"Horror",TRUE
"Book of Blood","en",2009-03-07,8.963,152,5.5,0,0,96,FALSE,"Drama, Horror, Mystery, Thriller",TRUE
"Night of the Demons","en",1988-10-14,8.963,249,6.2,1200000,3109904,90,FALSE,"Horror",TRUE
"Malicious","en",2018-06-23,8.955,136,5.8,3500000,0,90,FALSE,"Horror, Thriller",TRUE
"The Two Faces of Dr. Jekyll","en",1960-10-24,8.953,74,6.3,0,0,88,FALSE,"Horror, Romance, Science Fiction",TRUE
"The Beyond","it",1981-04-29,8.952,424,6.9,0,0,88,FALSE,"Horror",TRUE
"Snoop Dogg's Hood of Horror","en",2006-06-27,8.951,55,4.7,5e+06,25900,85,FALSE,"Comedy, Horror",FALSE
"Vile","en",2011-08-25,8.951,118,4.9,0,0,88,FALSE,"Horror, Thriller",FALSE
"The Lair of the White Worm","en",1988-09-21,8.95,167,5.9,2500000,1189315,93,FALSE,"Comedy, Fantasy, Horror",TRUE
"Zombie Holocaust","it",1980-03-27,8.942,119,5.4,0,0,84,FALSE,"Horror",TRUE
"Family Blood","en",2018-03-16,8.937,144,4.6,0,0,92,FALSE,"Horror, Thriller",FALSE
"The Advent Calendar","fr",2021-12-01,8.934,127,6.8,0,350413,104,FALSE,"Horror, Thriller",TRUE
"Troll 2","en",1990-10-12,8.933,332,3.9,65000,0,95,FALSE,"Fantasy, Horror",FALSE
"Critters 4","en",1992-08-20,8.932,205,5,0,0,84,FALSE,"Comedy, Horror, Science Fiction",FALSE
"COVID-21: Lethal Virus","en",2021-01-01,8.93,224,5.5,0,0,87,FALSE,"Horror, Science Fiction, Thriller",TRUE
"The Second Arrival","en",1998-11-06,8.924,55,3.8,4529850,0,101,FALSE,"Horror, Science Fiction",FALSE
"The Loved Ones","en",2009-09-13,8.898,604,6.7,0,0,84,FALSE,"Horror",TRUE
"It Stains the Sands Red","en",2016-10-08,8.893,181,5.6,0,0,92,FALSE,"Comedy, Drama, Horror",TRUE
"Grace","en",2009-08-14,8.884,142,5.5,5e+06,0,84,FALSE,"Horror, Thriller",TRUE
"The Medusa Touch","en",1978-04-13,8.881,131,6.9,0,0,109,FALSE,"Horror, Mystery, Science Fiction, Thriller",TRUE
"Borderland","en",2007-11-09,8.875,174,5.4,0,0,105,FALSE,"Crime, Horror, Thriller",TRUE
"Jurassic City","en",2015-01-09,8.856,63,4.7,1500000,0,88,FALSE,"Action, Horror, Science Fiction",FALSE
"DeadTectives","en",2019-09-26,8.855,56,6.1,0,0,92,FALSE,"Comedy, Horror",TRUE
"One Dark Night","en",1982-12-31,8.848,79,5.6,978000,0,94,FALSE,"Horror",TRUE
"Antisocial","en",2013-07-31,8.847,102,4.6,0,0,90,FALSE,"Horror, Thriller",FALSE
"Scream","en",1981-01-08,8.843,36,4.2,0,0,82,FALSE,"Horror, Mystery",FALSE
"The Eye 3: Infinity","cn",2005-03-24,8.842,58,5.2,0,0,86,FALSE,"Comedy, Horror, Thriller",FALSE
"Amityville: A New Generation","en",1993-09-29,8.841,62,4,1500000,0,90,FALSE,"Drama, Horror, Thriller",FALSE
"Summer's Blood","en",2009-11-02,8.835,62,5.1,0,0,91,FALSE,"Horror, Thriller",FALSE
"Retreat","en",2011-10-14,8.834,248,5.5,0,4498,89,FALSE,"Drama, Horror, Thriller",TRUE
"Dead Space: Aftermath","en",2010-12-31,8.832,127,6,2500000,0,85,FALSE,"Animation, Horror, Science Fiction",TRUE
"20 Million Miles to Earth","en",1957-02-08,8.831,108,6.3,0,0,82,FALSE,"Horror, Science Fiction",TRUE
"The Incredible Shrinking Man","en",1957-02-22,8.828,358,7.5,750000,0,81,FALSE,"Drama, Horror, Science Fiction",TRUE
"Split Second","en",1992-05-01,8.818,224,5.9,7e+06,5430822,90,FALSE,"Horror, Science Fiction",TRUE
"Phantasm III: Lord of the Dead","en",1994-05-06,8.818,177,5.8,2500000,0,91,FALSE,"Action, Horror, Science Fiction",TRUE
"Blacula","en",1972-08-25,8.813,116,5.5,5e+05,0,93,FALSE,"Fantasy, Horror",TRUE
"Diabolique","en",1996-03-22,8.808,229,5.5,4.5e+07,52400000,107,FALSE,"Horror, Mystery, Thriller",TRUE
"Harbinger Down","en",2015-08-07,8.808,154,4.5,0,0,82,FALSE,"Horror, Science Fiction",FALSE
"House Of 9","en",2005-06-19,8.805,180,4.9,6e+06,0,86,FALSE,"Drama, Horror, Mystery, Thriller",FALSE
"The Gallows Act II","en",2019-10-25,8.799,68,5,0,0,99,FALSE,"Horror, Thriller",FALSE
"Aileen Wuornos: American Boogeywoman","en",2021-09-20,8.795,37,5.6,0,0,86,FALSE,"Horror",TRUE
"Carnival of Souls","en",1962-11-02,8.786,352,7,30000,0,78,FALSE,"Horror, Mystery",TRUE
"Extraordinary Tales","en",2013-02-28,8.779,93,6.4,0,0,73,FALSE,"Animation, Horror, Mystery",TRUE
"The Ordeal","fr",2005-03-09,8.778,228,5.8,0,0,88,FALSE,"Horror",TRUE
"Darkness","en",2002-10-11,8.776,313,5.7,10600000,12241855,102,FALSE,"Horror",TRUE
"Absentia","en",2011-03-03,8.776,283,5.9,70000,0,92,FALSE,"Horror, Mystery, Thriller",TRUE
"Marquis de Sade: Justine","it",1969-04-03,8.764,34,5.3,0,0,124,FALSE,"Drama, Horror",FALSE
"Bad Moon","en",1996-11-01,8.762,192,6.8,7e+06,1100000,80,FALSE,"Horror",TRUE
"Heartless","en",2009-11-21,8.755,135,6,0,0,114,FALSE,"Drama, Horror, Thriller",TRUE
"Elvira's Haunted Hills","en",2002-10-31,8.753,80,5.4,1500000,0,90,FALSE,"Comedy, Horror",TRUE
"Hide and Seek","ko",2013-08-14,8.753,77,6.5,1900000,35461505,107,FALSE,"Horror, Thriller",TRUE
"Patient Seven","en",2016-10-11,8.75,113,5.2,0,0,116,FALSE,"Horror, Thriller",FALSE
"Bad Match","en",2017-08-25,8.749,162,5.6,0,0,90,FALSE,"Horror, Thriller",TRUE
"Dr. Giggles","en",1992-10-23,8.742,113,5.6,0,8403433,95,FALSE,"Comedy, Horror, Mystery, Thriller",TRUE
"All the Colors of the Dark","it",1972-02-28,8.741,95,6.4,0,0,94,FALSE,"Horror, Mystery, Thriller",TRUE
"Amsterdamned","nl",1988-02-11,8.74,138,6.2,98003,0,114,FALSE,"Action, Horror, Thriller",TRUE
"Gamera: Guardian of the Universe","ja",1995-03-11,8.725,108,7.7,4500000,1.6e+07,96,FALSE,"Adventure, Fantasy, Horror, Science Fiction",TRUE
"Minotaur","en",2006-03-11,8.719,108,4.6,7e+06,0,93,FALSE,"Adventure, Fantasy, Horror",FALSE
"The Tortured","en",2010-06-15,8.719,125,5.3,8500000,0,79,FALSE,"Horror",FALSE
"Hello Mary Lou: Prom Night II","en",1987-10-16,8.717,128,5.8,0,2683519,97,FALSE,"Horror",TRUE
"Reeker","en",2005-03-13,8.716,180,5.8,0,2289000,91,FALSE,"Horror, Mystery",TRUE
"The Raven","en",1963-01-25,8.715,179,6.4,350000,1499275,86,FALSE,"Comedy, Fantasy, Horror",TRUE
"The Battery","en",2012-10-13,8.706,218,6.2,6000,0,101,FALSE,"Drama, Horror",TRUE
"Witchery","en",1988-12-01,8.704,49,5.1,0,0,95,FALSE,"Horror",FALSE
"Guinea Pig 6: Mermaid in the Manhole","ja",1988-07-25,8.7,45,5.1,5500,0,63,FALSE,"Horror",FALSE
"Girl on the Third Floor","en",2019-10-25,8.699,239,5.2,0,0,93,FALSE,"Horror, Thriller",FALSE
"Jack Frost","en",1997-11-18,8.697,174,5.2,0,0,89,FALSE,"Comedy, Fantasy, Horror",FALSE
"My Soul to Take","en",2010-10-08,8.695,435,5.6,2.5e+07,21500813,107,FALSE,"Drama, Horror, Mystery",TRUE
"Repo! The Genetic Opera","en",2008-07-18,8.683,271,6.3,8500000,188126,98,FALSE,"Horror, Music, Science Fiction",TRUE
"Amnesiac","en",2015-08-14,8.675,145,4.5,3e+06,0,90,FALSE,"Drama, Horror, Mystery, Thriller",FALSE
"Bloodline","en",2019-09-20,8.672,175,6,0,0,95,FALSE,"Crime, Horror, Thriller",TRUE
"Donkey Punch","en",2008-07-18,8.668,126,4.7,0,0,99,FALSE,"Crime, Drama, Horror, Thriller",FALSE
"The Satanic Rites of Dracula","en",1973-11-03,8.663,100,5.6,0,544476,87,FALSE,"Horror",TRUE
"Inhuman Kiss","th",2019-03-14,8.661,43,6.3,1200000,0,122,FALSE,"Drama, Horror, Romance",TRUE
"The Toll","en",2021-03-26,8.652,85,5.6,0,0,80,FALSE,"Horror, Thriller",TRUE
"ChromeSkull: Laid to Rest 2","en",2011-09-20,8.647,80,5,0,0,93,FALSE,"Horror",FALSE
"Storm Warning","en",2007-10-19,8.645,113,5.5,0,0,86,FALSE,"Horror, Thriller",TRUE
"The Prophecy: Uprising","en",2005-06-07,8.641,59,5,0,0,88,FALSE,"Action, Fantasy, Horror, Thriller",FALSE
"The Company of Wolves","en",1984-09-21,8.635,240,6.4,2e+06,4389334,95,FALSE,"Fantasy, Horror",TRUE
"Abandoned","en",2022-06-17,8.634,22,5.2,0,0,102,FALSE,"Horror, Mystery, Thriller",FALSE
"The Rezort","en",2015-06-15,8.625,322,5.5,0,0,87,FALSE,"Horror",TRUE
"Solstice","en",2007-03-02,8.619,147,5.3,0,0,91,FALSE,"Drama, Horror, Mystery",FALSE
"Asylum","en",1972-11-17,8.616,119,6,0,0,88,FALSE,"Horror, Mystery, Thriller",TRUE
"Tokyo Ghoul: Pinto","ja",2015-12-25,8.608,58,7.3,0,0,24,FALSE,"Action, Animation, Drama, Horror",TRUE
"From a House on Willow Street","en",2017-03-24,8.604,145,4.7,0,0,90,FALSE,"Horror",FALSE
"Teaching Mrs. Tingle","en",1999-08-11,8.599,277,5.5,1.3e+07,8946237,96,FALSE,"Comedy, Crime, Horror",TRUE
"Late Phases","en",2014-11-21,8.595,203,5.9,0,0,95,FALSE,"Horror, Thriller",TRUE
"Serpent Of Death","zh",2018-09-04,8.588,60,6.9,0,0,80,FALSE,"Adventure, Horror",TRUE
"The Devil's Mark","es",2020-01-03,8.583,151,4.3,0,0,82,FALSE,"Horror",FALSE
"The Devil's Candy","en",2017-03-17,8.581,549,6.3,0,0,79,FALSE,"Drama, Horror, Thriller",TRUE
"In Dreams","en",1999-01-15,8.577,151,5.4,3e+07,12017369,100,FALSE,"Horror, Mystery, Thriller",TRUE
"Moloch","nl",2022-05-19,8.577,21,5.9,0,500287,99,FALSE,"Horror",TRUE
"Poultrygeist: Night of the Chicken Dead","en",2006-12-26,8.575,123,5.9,0,0,103,FALSE,"Comedy, Horror",TRUE
"Resurrection","en",2022-07-29,8.573,50,5.6,0,0,103,FALSE,"Drama, Horror, Thriller",TRUE
"Daughter of Darkness 2","cn",1994-01-01,8.562,14,5,0,0,98,FALSE,"Comedy, Drama, Horror",FALSE
"The Legend of Hell House","en",1973-06-15,8.557,193,6.8,0,0,95,FALSE,"Horror, Mystery",TRUE
"The Bride","en",1985-08-16,8.549,58,5.4,0,3558669,114,FALSE,"Drama, Horror, Romance",TRUE
"The Bloody Judge","it",1970-02-05,8.543,28,5.1,0,0,84,FALSE,"History, Horror",FALSE
"House on the Edge of the Park","it",1980-11-06,8.542,96,5.9,0,0,91,FALSE,"Horror, Thriller",TRUE
"Shivers","en",1975-10-10,8.535,493,6.3,179000,1e+06,88,FALSE,"Horror",TRUE
"Chillerama","en",2011-10-14,8.528,88,5.6,0,0,120,FALSE,"Comedy, Horror",TRUE
"Scorned","en",2013-11-14,8.526,45,5.2,1700000,0,86,FALSE,"Horror, Mystery, Thriller",FALSE
"Beyond Re-Animator","en",2003-04-04,8.525,224,5.6,3e+06,0,95,FALSE,"Comedy, Horror, Science Fiction",TRUE
"Be Afraid","en",2017-06-01,8.525,100,6.2,0,0,99,FALSE,"Horror, Mystery, Thriller",TRUE
"Zombie Massacre","en",2013-06-06,8.521,100,5.1,1e+06,0,91,FALSE,"Action, Horror",FALSE
"Mary Reilly","en",1996-02-23,8.516,261,5.9,4.7e+07,12379402,104,FALSE,"Drama, History, Horror, Thriller",TRUE
"Tetsuo: The Iron Man","ja",1989-07-01,8.516,423,7,55500,0,67,FALSE,"Horror, Science Fiction",TRUE
"Antibirth","en",2016-09-02,8.514,102,4.9,3.5e+07,0,94,FALSE,"Horror",FALSE
"The Mind's Eye","en",2015-08-05,8.51,73,4.8,0,0,87,FALSE,"Action, Horror, Science Fiction",FALSE
"The Innocents","en",1961-12-15,8.509,447,7.4,0,0,100,FALSE,"History, Horror, Thriller",TRUE
"Temple","en",2017-09-01,8.509,157,3.9,0,0,78,FALSE,"History, Horror",FALSE
"Trico Tri Happy Halloween","en",2018-09-28,8.506,19,4.7,0,0,0,FALSE,"Comedy, Family, Horror",FALSE
"Communion","en",1989-11-10,8.498,133,5.3,5e+06,1919653,103,FALSE,"Drama, Horror, Science Fiction, Thriller",FALSE
"The Night Stalker","en",1972-01-11,8.496,88,6.9,0,0,74,FALSE,"Horror, Mystery, Thriller, TV Movie",TRUE
"The Horde","fr",2010-02-10,8.493,350,5.9,0,0,98,FALSE,"Action, Horror, Thriller",TRUE
"Dark Floors","fi",2008-02-06,8.487,101,4.9,4300000,0,85,FALSE,"Fantasy, Horror",FALSE
"In the Spider's Web","en",2007-08-26,8.487,33,4.9,0,0,88,FALSE,"Horror, TV Movie",FALSE
"Insanitarium","en",2008-07-15,8.486,89,5.4,0,0,89,FALSE,"Horror, Thriller",TRUE
"Them","fr",2006-07-19,8.485,422,6.1,0,2727971,77,FALSE,"Horror, Thriller",TRUE
"August Underground's Mordum","en",2003-01-01,8.479,60,4.1,300,0,77,FALSE,"Horror",FALSE
"Galaxy of Terror","en",1981-10-01,8.473,149,5.2,7e+05,0,81,FALSE,"Action, Adventure, Horror, Science Fiction",FALSE
"Dolls","en",1987-03-12,8.462,257,6.4,0,0,77,FALSE,"Fantasy, Horror",TRUE
"DeVour","en",2005-10-01,8.46,83,5.5,0,0,90,FALSE,"Horror",TRUE
"The Pact","en",2012-05-25,8.457,410,5.7,0,0,89,FALSE,"Horror, Mystery, Thriller",TRUE
"Attack of the 50 Foot Woman","en",1958-05-18,8.455,97,4.7,88000,480000,65,FALSE,"Horror, Science Fiction",FALSE
"Corona Zombies","en",2020-04-10,8.454,29,4.7,0,0,61,FALSE,"Comedy, Horror",FALSE
"Helter Skelter","ja",2012-07-14,8.452,84,6.5,0,0,127,FALSE,"Drama, Horror",TRUE
"14 Cameras","en",2018-07-13,8.452,76,5.2,0,0,90,FALSE,"Horror, Thriller",FALSE
"Faceless","en",1987-09-01,8.444,38,5.8,0,0,98,FALSE,"Horror",TRUE
"After She Wakes","en",2019-12-13,8.444,14,4.9,0,0,78,FALSE,"Horror, Thriller",FALSE
"Vinyan","en",2008-08-30,8.44,98,5,0,0,96,FALSE,"Drama, Horror, Thriller",FALSE
"Something Wicked This Way Comes","en",1983-04-29,8.431,136,6.5,1.9e+07,5656087,95,FALSE,"Fantasy, Horror, Mystery, Thriller",TRUE
"Silent Venom","en",2009-06-02,8.426,25,5.5,0,0,90,FALSE,"Action, Adventure, Horror, Thriller",TRUE
"Razorback","en",1984-04-19,8.422,133,5.7,5500000,801000,95,FALSE,"Horror",TRUE
"The Burrowers","en",2008-09-09,8.42,170,5.9,7e+06,0,96,FALSE,"Horror, Western",TRUE
"The Addiction","en",1995-01-10,8.42,205,6.5,0,0,82,FALSE,"Drama, Horror",TRUE
"Body Bags","en",1993-08-07,8.418,247,6.1,0,0,94,FALSE,"Comedy, Horror, Science Fiction, TV Movie",TRUE
"Cub","fr",2014-10-29,8.418,202,5.5,0,0,85,FALSE,"Adventure, Horror",TRUE
"Suicide Club","ja",2001-10-29,8.412,374,6.6,250000,0,99,FALSE,"Drama, Horror, Thriller",TRUE
"KKN, Curse Of The Dancing Village","id",2022-04-30,8.411,12,5.8,1100000,0,130,FALSE,"Horror",TRUE
"The Machine Girl","ja",2008-01-02,8.406,152,6,0,0,96,FALSE,"Action, Adventure, Comedy, Crime, Horror, Thriller",TRUE
"The Wrath Of Vajra","cn",2013-09-24,8.4,44,5.6,0,0,115,FALSE,"Action, Fantasy, Horror",TRUE
"Get Duked!","en",2019-03-08,8.391,174,6.1,0,0,87,FALSE,"Action, Comedy, Horror",TRUE
"In the Earth","en",2021-04-16,8.389,284,5.8,0,0,107,FALSE,"Horror, Science Fiction, Thriller",TRUE
"YellowBrickRoad","en",2010-01-23,8.375,124,4.7,5e+05,0,99,FALSE,"Horror, Thriller",FALSE
"Deathwatch","en",2002-10-06,8.372,147,5.8,0,2270658,94,FALSE,"Drama, Horror, Thriller, War",TRUE
"Giallo","it",2010-03-13,8.37,131,4.1,1.4e+07,50113,92,FALSE,"Crime, Horror, Mystery, Thriller",FALSE
"Suck","en",2009-09-11,8.37,109,6.4,0,0,91,FALSE,"Comedy, Horror, Music",TRUE
"A Fantastic Fear of Everything","en",2012-06-07,8.365,244,5.7,0,0,100,FALSE,"Comedy, Horror, Thriller",TRUE
"The Borderlands","en",2013-08-24,8.363,178,5.4,0,0,89,FALSE,"Horror",TRUE
"The Zodiac","en",2005-07-31,8.358,103,5.5,1e+06,86872,92,FALSE,"Crime, Drama, Horror, Thriller",TRUE
"He's Out There","en",2018-10-25,8.358,239,5.8,0,0,89,FALSE,"Horror, Thriller",TRUE
"Mermaid Chronicles Part 1: She Creature","en",2001-12-20,8.355,81,5.8,0,0,91,FALSE,"Fantasy, Horror",TRUE
"Timber Falls","en",2007-12-07,8.354,123,5.2,2600000,0,97,FALSE,"Horror, Thriller",FALSE
